user,text,created_at
marlicris,"RT @iodelson: Como não bastasse o Coronavirus, agora temos problema com a Peste Negra.
As Ratazanas estão soltas.
https://t.co/FOzeyd2R03",2020-03-20
rachelsolaris,"Pronto, vivi pra ver acharem q comer bicho vivo ou não é pior q canibalismo. 
Coronavirus é pouco mesmo",2020-03-20
KamalAyoub8,"RT @CoronavirusBra1: Linha do tempo do #coronavirus no mundo:

- 19 de janeiro: 100 casos
- 24 de janeiro: 1.000 casos
- 28 de janeiro: 5.0…",2020-03-20
alexandr3slv,"RT @BelinhaPoodleBR: Sabe por que vc tem de ficar em casa?

Pq se muitas pessoas tiverem o coronavirus Não terão hospitais, médicos e equip…",2020-03-20
fabio_augustojp,Governador @joaoazevedolins autoriza o uso da “força policial” para manter o isolamento social contra o coronavírus; entenda https://t.co/DEU2MJJqmn,2020-03-20
pricsp,Primeira vítima do RJ era doméstica e pegou coronavírus da patroa no Leblon @UOLNoticias @UOL https://t.co/knvFfecjz4,2020-03-20
maycoss,Toyota suspende produção no Brasil por combate ao coronavírus https://t.co/LG3Xbog8Fp https://t.co/fc4l6ELBPw,2020-03-20
marinhoramone,"@aLoryPortilho Ela fuma narguilé, já tá dentro do grupo de risco.

Aí o Coronavirus tá potente em vários países atacando os jovens e o povo não sabendo o porque. Cigarros, maconha, narguilé, vale, todos facilitam o acoplamento do vírus no sistema respiratório.",2020-03-20
thamilihs,"RT @Negro_Brahma: Dia 3

COVID-19, tal do coronavirus, querendo que eu saia de casa https://t.co/iMShAryIEJ",2020-03-20
DonizetiTavare7,"RT @CeliaNacarato: Bolsonaro é cobrado a fazer exames para detectar o coronavirus. Ja fez dois e fará um terceiro. E o corrupto, q voltou d…",2020-03-20
IrisBoaVista,"RT @minsaude: O @minsaude atualiza a situação do #coronavírus no Brasil, em 19/03, às 17h06:

▶️621 casos confirmados
▶️6 óbitos

🔘Região N…",2020-03-20
AlagoasReal,"@CarminhaD @Ary_AntiPT Sabiam sim! Basta rever a cronologia e a evolução LETAL do coronavirus em sites da internet, antes ,durante e após os eventos em massa &gt;A) carnaval,e &gt;B)15 de março. Era uma questão entre gerenciar lucro(A)monetário e B) mais poder)em detrimento da saúde.Em tela ,o lucro venceu!!",2020-03-20
___mcd13,"RT @bielsiqueiraRJ: “Fiquem tranquilos , nosso governo está pronto para enfrentar o coronavírus”

O governo:

COVID-19 #NaQuarentenaEu #vir…",2020-03-20
Julay_T,"RT @blogdopannunzio: O coronavirus já matou quase nove mil pessoas no mundo. Mas a vítima mais importante é... O liberalismo econômico!
Não…",2020-03-20
Vivianerecife,"RT @lcoutinho: Brasil
#coronavirus #COVID19 #ChineseVirus https://t.co/Esb9LeH9sh",2020-03-20
reportermaceio,"CORONAVÍRUS: Governo de Alagoas  anuncia pacote de medidas econômicas para minimizar impa...
https://t.co/P2ZtmDDJHt",2020-03-20
LivrePetista,"RT @Adrysscamar1: Juiz libera cultos de Silas Malafaia, que podem propagar coronavírus para milhares de pessoas - Brasil 247 fecha tudo só…",2020-03-20
Rom_teofilo,"RT @jairbolsonaro: Mais ações do Governo Federal, envolvendo o @minsaude no enfrentamento do coronavírus:

1- R$432 milhões destinados a es…",2020-03-20
